Matricula,Carrera,Promedio
A10764,CARR66,93.666
A11766,CARR42,94.571
A13044,CARR103,87.285
A13280,CARR2,68.018
A13402,CARR58,77
A13519,CARR62,78.342
A13610,CARR71,71.463
A13743,CARR63,73.315
A14738,CARR63,78.5
A14855,CARR110,90.235
A15168,CARR62,87.31
A15173,CARR103,83.603
A15177,CARR103,83.722
A15181,CARR103,77.631
A15184,CARR62,81.707
A15186,CARR84,81.49
A15189,CARR62,75.395
A15196,CARR63,91.868
A15198,CARR113,78.925
A15199,CARR98,94.561
A15201,CARR2,81.836
A15203,CARR75,90.857
A15206,CARR62,97.206
A15208,CARR63,76.264
A15209,CARR103,87.563
A15210,CARR110,97.036
A15212,CARR75,85.892
A15214,CARR86,77.37
A15215,CARR86,83.192
A15217,CARR103,88.345
A15218,CARR66,88.576
A15227,CARR103,78.793
A15228,CARR103,82.531
A15229,CARR98,92.428
A15230,CARR58,74.311
A15231,CARR88,87.803
A15234,CARR85,68.35
A15238,CARR62,71.093
A15239,CARR62,94.818
A15241,CARR54,76.659
A15242,CARR85,88.282
A15243,CARR2,76.266
A15245,CARR84,74.953
A15248,CARR62,96.767
A15249,CARR62,79.956
A15250,CARR2,84.75
A15259,CARR112,71.913
A15261,CARR110,83.552
A15265,CARR61,79.555
A15268,CARR2,91.387
A15270,CARR103,73.366
A15271,CARR84,84.285
A15274,CARR62,76.705
A15275,CARR71,65.269
A15279,CARR61,86.647
A15281,CARR71,88.272
A15282,CARR66,89.909
A15283,CARR84,86.588
A15284,CARR54,73.693
A15288,CARR42,86.548
A15289,CARR97,83.653
A15291,CARR62,78.18
A15292,CARR85,80.058
A15293,CARR84,81
A15294,CARR84,86.84
A15296,CARR86,86.411
A15297,CARR62,76.363
A15298,CARR63,76.833
A15301,CARR84,77.428
A15302,CARR98,65.411
A15303,CARR62,78.129
A15304,CARR88,80.633
A15306,CARR62,75
A15307,CARR62,77.857
A15309,CARR88,82.774
A15310,CARR103,84.875
A15313,CARR103,93.185
A15314,CARR84,79.861
A15316,CARR76,84.4
A15317,CARR62,81.583
A15318,CARR62,85.403
A15319,CARR62,93.8
A15320,CARR98,89.437
A15321,CARR54,95.636
A15322,CARR84,93.153
A15323,CARR103,95.526
A15324,CARR84,99.105
A15325,CARR84,98.842
A15326,CARR85,86
A15327,CARR62,94.476
A15329,CARR85,93.052
A15331,CARR113,85.904
A15332,CARR85,85.4
A15333,CARR84,84.863
A15337,CARR112,92.285
A15338,CARR103,91.35
A15340,CARR62,81.153
A15341,CARR66,63.21
A15342,CARR66,96.157
A15345,CARR66,93.315
A15347,CARR54,85.935
A15348,CARR85,78.969
A15350,CARR62,87.578
A15352,CARR103,74
A15353,CARR84,90.827
A15355,CARR86,74.339
A15357,CARR85,72.928
A15358,CARR85,76.523
A15359,CARR85,59.404
A15360,CARR86,76.53
A15362,CARR85,78.76
A15363,CARR65,92
A15364,CARR85,88.857
A15365,CARR63,85.974
A15366,CARR76,85.568
A15367,CARR114,90.714
A15368,CARR54,41.666
A15369,CARR103,83.857
A15371,CARR2,92.285
A15372,CARR53,92.5
A15373,CARR53,88.833
A15374,CARR78,94.166
A15375,CARR75,87.968
A15376,CARR79,92.5
A15377,CARR85,73.428
A15379,CARR85,93.714
A15380,CARR103,97.142
A15381,CARR103,93.714
A15383,CARR114,94.5
A15384,CARR2,90.428
A15385,CARR60,87.793
A15386,CARR75,91.65
A15387,CARR98,80.794
A15389,CARR53,94.333
A15390,CARR65,89.428
A15391,CARR62,80.32
A15393,CARR84,77.297
A15394,CARR103,88.228
A15395,CARR60,92
A15396,CARR53,99.857
A15397,CARR64,98.666
A15398,CARR88,84.257
